id,dev_domain,gender,year_joined,hacktoberfest
116,IOS,F,2019,No
117,Cybersecurity,M,2009,No
118,Machine Learning,F,2022,Yes
119,Windows,F,2015,No
120,Windows,M,2013,No
121,Cloud,M,2022,No
122,Machine Learning,M,2008,Yes
123,Android,F,2010,No
124,Web,F,2023,No
125,Cybersecurity,F,2017,Yes
126,IOS,F,2015,Yes
127,Machine Learning,M,2018,No
128,IOS,Other,2012,Yes
129,Cybersecurity,F,2021,No
130,Cloud,F,2015,Yes
131,Cybersecurity,M,2016,Yes
132,Android,M,2013,No
133,Cybersecurity,M,2017,No
134,Machine Learning,M,2021,No
135,Web,F,2019,Yes
136,Machine Learning,M,2015,Yes
137,DevOps,F,2016,No
138,Machine Learning,Other,2018,No
139,Cloud,F,2016,Yes
140,Machine Learning,M,2015,Yes
141,Machine Learning,Other,2018,Yes
142,Cybersecurity,M,2008,No
143,IOS,F,2022,Yes
144,DevOps,F,2012,No
145,Cloud,Other,2016,No
146,DevOps,Other,2010,Yes
147,Web,M,2016,Yes
148,Web,M,2017,No
149,Android,F,2011,No
150,Web,M,2012,No
151,IOS,M,2020,Yes
152,Android,M,2018,No
153,IOS,Other,2012,Yes
154,DevOps,Other,2011,No
155,DevOps,M,2016,Yes
156,Web,M,2010,Yes
157,Cloud,F,2018,Yes
158,Android,M,2020,No
159,Cloud,F,2023,Yes
160,Android,F,2016,Yes
161,DevOps,M,2022,No
162,Machine Learning,M,2016,No
163,Web,M,2014,No
164,Android,F,2018,Yes
165,Machine Learning,M,2023,Yes
166,Web,F,2015,No
167,Windows,M,2013,Yes
168,Cybersecurity,M,2013,No
169,Windows,F,2008,Yes
170,IOS,M,2020,No
171,DevOps,F,2017,No
172,Cloud,Other,2021,No
173,Machine Learning,M,2017,Yes
174,Web,M,2013,No
175,Machine Learning,F,2017,Yes
176,DevOps,F,2014,No
177,DevOps,M,2021,Yes
178,Android,F,2019,No
179,IOS,M,2021,No
180,Cybersecurity,M,2012,Yes
181,Cloud,M,2022,Yes
182,Cloud,M,2015,No
183,Cybersecurity,M,2011,Yes
184,Web,M,2014,No
185,IOS,M,2013,Yes
186,Windows,F,2012,Yes
187,Cybersecurity,M,2020,No
188,IOS,F,2020,No
189,Windows,M,2009,Yes
190,Cybersecurity,F,2013,No
191,Android,F,2017,Yes
192,Cloud,Other,2011,No
193,Android,F,2011,Yes
194,Cybersecurity,Other,2010,No
195,IOS,F,2010,No
196,Android,M,2020,Yes
197,Windows,M,2010,Yes
198,Cybersecurity,F,2019,Yes
199,Android,M,2011,No
200,Cybersecurity,F,2020,Yes
201,Windows,F,2019,Yes
202,Windows,M,2018,No
203,Cybersecurity,M,2021,No
204,Machine Learning,M,2015,No
205,Machine Learning,F,2022,No
206,Machine Learning,F,2022,No
207,Android,F,2017,Yes
208,Cloud,M,2022,Yes
209,DevOps,M,2012,No
210,DevOps,M,2008,Yes
211,Machine Learning,F,2011,Yes
212,DevOps,M,2017,Yes
213,DevOps,M,2010,Yes
214,IOS,F,2022,Yes
215,Cloud,F,2008,Yes
216,Android,F,2014,No
217,Windows,F,2012,Yes
218,Web,M,2015,No
219,Machine Learning,M,2023,No
220,Cloud,M,2017,Yes
221,Cloud,M,2019,Yes
222,Cloud,F,2011,Yes
223,DevOps,F,2018,Yes
224,Windows,M,2021,No
225,DevOps,Other,2018,No
226,Windows,F,2014,Yes
227,Windows,F,2019,Yes
228,Cybersecurity,M,2017,Yes
229,Cybersecurity,F,2017,No
230,Android,M,2009,Yes
231,Android,M,2009,Yes
232,Cybersecurity,F,2016,Yes
233,Windows,M,2017,No
234,DevOps,M,2013,Yes
235,Cloud,M,2012,No
236,Android,Other,2020,No
237,Windows,M,2011,Yes
238,DevOps,F,2015,No
239,Web,M,2020,No
240,IOS,Other,2009,No
241,Windows,M,2019,Yes
242,IOS,M,2017,Yes
243,Web,F,2010,No
244,Web,Other,2014,Yes
245,DevOps,F,2008,No
246,IOS,F,2023,Yes
247,Cybersecurity,Other,2023,Yes
248,Windows,M,2008,Yes
249,Cloud,M,2012,Yes
250,Machine Learning,F,2018,Yes
251,Android,M,2008,Yes
252,Web,M,2019,Yes
253,Web,M,2009,No
254,IOS,F,2014,Yes
255,IOS,Other,2009,Yes
256,Machine Learning,M,2017,Yes
257,DevOps,F,2021,Yes
258,Cloud,F,2020,No
259,Cloud,F,2016,No
260,Cloud,Other,2015,No
261,Web,M,2011,No
262,IOS,F,2014,Yes
263,Cybersecurity,F,2018,No
264,Android,F,2012,No
265,Cloud,M,2009,Yes
266,Cybersecurity,Other,2012,No
267,Cybersecurity,M,2014,Yes
268,DevOps,F,2019,Yes
269,Machine Learning,M,2020,No
270,DevOps,F,2013,No
271,Web,F,2008,No
272,DevOps,Other,2013,No
273,Cloud,F,2011,No
274,Cloud,M,2012,No
275,Android,F,2023,Yes
276,Windows,Other,2016,No
277,Web,Other,2023,No
278,Cloud,M,2019,No
279,Cybersecurity,M,2020,Yes
280,DevOps,M,2012,No
281,Web,F,2011,Yes
282,Web,M,2008,Yes
283,DevOps,M,2011,No
284,Machine Learning,M,2020,No
285,Cybersecurity,F,2016,No
286,Windows,Other,2020,No
287,Web,F,2013,Yes
288,DevOps,F,2022,No
289,Android,F,2009,No
290,Windows,Other,2015,Yes
291,Machine Learning,F,2013,No
292,Cloud,Other,2016,No
293,DevOps,M,2014,No
294,Web,M,2018,No
295,IOS,F,2021,No
296,IOS,M,2019,Yes
297,Web,M,2017,No
298,Cybersecurity,F,2022,Yes
299,IOS,F,2011,No
300,Windows,Other,2008,Yes
301,Windows,M,2015,No
302,Windows,M,2017,No
303,DevOps,Other,2015,No
304,Android,F,2014,Yes
305,Windows,Other,2018,Yes
306,Cybersecurity,Other,2016,Yes
307,Windows,M,2014,No
308,DevOps,M,2022,No
309,DevOps,F,2019,No
310,Android,M,2013,No
311,Machine Learning,F,2018,Yes
312,Cloud,F,2009,No
313,DevOps,F,2017,Yes
314,Cybersecurity,F,2008,No
315,Cybersecurity,F,2014,Yes
316,Cloud,F,2018,Yes
317,Cybersecurity,Other,2017,Yes
318,Web,Other,2009,No
319,Android,Other,2022,No
320,Cloud,M,2014,No
321,Cybersecurity,M,2021,Yes
322,Cloud,F,2018,Yes
323,IOS,M,2011,Yes
324,Cloud,F,2008,No
325,Cloud,M,2016,No
326,DevOps,Other,2013,Yes
327,Android,F,2021,No
328,Cloud,M,2020,Yes
329,Android,M,2022,Yes
330,DevOps,M,2015,No
331,Android,M,2010,Yes
332,DevOps,F,2012,Yes
333,Machine Learning,F,2009,No
334,Web,Other,2020,No
335,Cybersecurity,F,2015,Yes
336,DevOps,M,2010,No
337,Machine Learning,F,2010,Yes
338,Cloud,M,2021,Yes
339,Web,M,2019,Yes
340,DevOps,F,2013,Yes
341,Web,M,2008,No
342,Windows,M,2022,Yes
343,DevOps,Other,2015,No
344,DevOps,F,2017,No
345,IOS,F,2008,Yes
346,Machine Learning,M,2015,No
347,Cloud,F,2010,Yes
348,Cloud,M,2015,No
349,Android,F,2021,Yes
350,DevOps,M,2013,No
351,Web,M,2023,Yes
352,Android,Other,2021,Yes
353,Cybersecurity,M,2011,No
354,Android,Other,2011,Yes
355,IOS,M,2014,No
356,Cloud,M,2009,Yes
357,Android,M,2020,Yes
358,Cloud,F,2009,Yes
359,Cloud,F,2009,Yes
360,DevOps,F,2022,Yes
361,Web,M,2008,No
362,Cybersecurity,M,2017,No
363,Windows,M,2011,Yes
364,DevOps,Other,2011,Yes
365,Cybersecurity,M,2012,Yes
366,Windows,M,2013,No
367,Machine Learning,F,2016,No
368,Web,F,2016,No
369,Android,F,2010,Yes
370,Android,F,2009,No
371,IOS,Other,2020,Yes
372,IOS,Other,2011,Yes
373,Windows,M,2012,Yes
374,IOS,F,2019,Yes
375,DevOps,M,2023,No
376,Cybersecurity,M,2023,No
377,Windows,F,2022,Yes
378,Machine Learning,F,2010,Yes
379,Windows,Other,2023,Yes
380,Cloud,F,2015,No
381,Cloud,M,2019,Yes
382,DevOps,F,2012,Yes
383,Windows,F,2016,No
384,IOS,M,2021,No
385,Cybersecurity,M,2016,Yes
386,Android,M,2014,No
387,Web,F,2018,No
388,Machine Learning,F,2011,No
389,Machine Learning,F,2018,No
390,Windows,M,2008,Yes
391,Android,M,2009,No
392,Cybersecurity,M,2014,Yes
393,Web,F,2021,Yes
394,IOS,M,2014,Yes
395,Cybersecurity,Other,2021,No
396,Android,F,2014,No
397,IOS,M,2021,No
398,DevOps,M,2010,No
399,Windows,F,2015,Yes
400,Android,F,2023,No
401,IOS,F,2011,No
402,DevOps,M,2022,No
403,Windows,Other,2019,No
404,Cybersecurity,Other,2011,Yes
405,Web,M,2011,No
406,Cloud,F,2019,No
407,Machine Learning,Other,2015,No
408,Cybersecurity,M,2021,Yes
409,Cybersecurity,Other,2012,No
410,Windows,Other,2010,No
411,IOS,M,2022,No
412,Machine Learning,M,2021,No
413,IOS,Other,2012,Yes
414,IOS,F,2023,No
415,DevOps,F,2017,No
416,Android,F,2011,Yes
417,Windows,M,2009,Yes
418,Windows,F,2019,Yes
419,IOS,F,2010,Yes
420,Android,Other,2011,Yes
421,Cloud,M,2017,Yes
422,Windows,F,2009,No
423,IOS,F,2013,No
424,Cloud,F,2022,Yes
425,Machine Learning,F,2016,Yes
426,Machine Learning,M,2023,Yes
427,Cybersecurity,M,2011,No
428,Machine Learning,Other,2016,Yes
429,Windows,F,2014,Yes
430,Cybersecurity,M,2023,No
431,Android,F,2013,No
432,IOS,F,2019,Yes
433,Machine Learning,M,2011,No
434,Web,M,2010,Yes
435,Windows,M,2011,No
436,DevOps,F,2013,No
437,DevOps,F,2009,Yes
438,Android,Other,2010,No
439,Windows,F,2013,Yes
440,Android,Other,2014,No
441,Android,F,2020,No
442,Machine Learning,Other,2015,No
443,Cybersecurity,Other,2019,Yes
444,IOS,M,2019,Yes
445,Web,F,2015,No
446,Cybersecurity,F,2013,No
447,Android,F,2014,Yes
448,DevOps,F,2008,No
449,DevOps,M,2013,Yes
450,DevOps,M,2015,No
451,DevOps,M,2022,No
452,IOS,Other,2008,Yes
453,DevOps,F,2009,Yes
454,IOS,M,2019,No
455,DevOps,M,2016,Yes
456,DevOps,F,2011,No
457,Windows,F,2009,No
458,Cybersecurity,F,2018,No
459,DevOps,Other,2020,Yes
460,Windows,F,2013,No
461,IOS,Other,2021,No
462,Machine Learning,F,2019,Yes
463,Windows,F,2009,Yes
464,Windows,M,2012,No
465,Cloud,M,2013,Yes
466,IOS,M,2016,Yes
467,Machine Learning,F,2014,Yes
468,Web,M,2021,Yes
469,Cybersecurity,M,2019,Yes
470,Windows,F,2009,Yes
471,Android,M,2017,No
472,Cloud,F,2012,No
473,Cybersecurity,F,2008,Yes
474,Windows,F,2023,No
475,Cloud,Other,2019,Yes
476,Web,F,2020,No
477,Machine Learning,F,2018,Yes
478,DevOps,M,2019,Yes
479,Cybersecurity,F,2017,Yes
480,Web,M,2018,Yes
481,IOS,M,2020,No
482,IOS,M,2012,Yes
483,Cybersecurity,M,2018,No
484,DevOps,M,2022,No
485,Machine Learning,F,2012,Yes
486,Android,Other,2012,No
487,Machine Learning,F,2019,Yes
488,Cybersecurity,M,2010,No
489,Android,M,2021,Yes
490,IOS,M,2022,No
491,Web,F,2012,No
492,Windows,M,2019,Yes
493,Cloud,M,2022,No
494,Machine Learning,F,2019,No
495,Windows,F,2019,Yes
496,DevOps,Other,2020,Yes
497,IOS,F,2010,No
498,IOS,Other,2019,Yes
499,Cybersecurity,M,2019,No
500,Cloud,F,2008,Yes
501,Cloud,F,2022,No
502,DevOps,F,2008,No
503,IOS,M,2017,No
504,Machine Learning,F,2011,Yes
505,Cybersecurity,M,2011,No
506,Cloud,F,2020,Yes
507,IOS,M,2023,No
508,Web,F,2016,No
509,IOS,F,2022,No
510,IOS,F,2022,Yes
511,DevOps,M,2020,Yes
512,Machine Learning,F,2015,No
513,Android,Other,2020,Yes
514,DevOps,F,2011,No
515,Android,M,2021,Yes
516,IOS,F,2020,Yes
517,Machine Learning,M,2016,No
518,IOS,Other,2016,No
519,Machine Learning,Other,2012,Yes
520,Android,M,2020,No
521,DevOps,M,2023,No
522,Cybersecurity,Other,2012,No
523,IOS,M,2014,Yes
524,Windows,F,2015,Yes
525,Android,M,2008,No
526,Android,M,2019,No
527,Cybersecurity,M,2012,No
528,Android,M,2023,Yes
529,DevOps,F,2021,Yes
530,IOS,Other,2021,No
531,Cloud,F,2016,No
532,Android,F,2020,Yes
533,Windows,Other,2012,Yes
534,Android,F,2021,No
535,Cybersecurity,F,2022,Yes
536,Cloud,Other,2013,No
537,Machine Learning,M,2021,Yes
538,Machine Learning,F,2022,No
539,Web,F,2015,Yes
540,Android,F,2015,Yes
541,Cloud,F,2021,No
542,Cloud,F,2014,No
543,Web,F,2012,Yes
544,DevOps,F,2019,Yes
545,Android,F,2018,Yes
546,Windows,M,2018,No
547,Cloud,M,2011,No
548,DevOps,M,2015,Yes
549,Windows,F,2009,Yes
550,Machine Learning,M,2009,No
551,Cybersecurity,M,2017,Yes
552,Windows,M,2011,No
553,Cloud,M,2020,Yes
554,Cloud,F,2017,Yes
555,Android,M,2022,No
556,Android,M,2020,Yes
557,Web,F,2014,Yes
558,Android,M,2011,No
559,DevOps,F,2008,No
560,Machine Learning,M,2015,Yes
561,Machine Learning,M,2009,No
562,IOS,M,2016,Yes
563,Android,M,2018,No
564,Cybersecurity,F,2019,Yes
565,Cybersecurity,F,2018,No
566,Cloud,M,2013,No
567,DevOps,F,2014,Yes
568,Cybersecurity,F,2011,No
569,IOS,F,2009,Yes
570,DevOps,F,2016,Yes
571,Windows,Other,2019,Yes
572,Android,M,2010,No
573,Machine Learning,M,2013,Yes
574,Cloud,M,2012,Yes
575,DevOps,M,2019,Yes
576,Cloud,M,2013,Yes
577,Machine Learning,F,2021,No
578,Cloud,F,2018,Yes
579,Machine Learning,M,2012,Yes
580,Cloud,M,2021,Yes
581,Cloud,F,2008,Yes
582,Machine Learning,M,2018,No
583,Cloud,F,2018,Yes
584,Android,Other,2013,No
585,DevOps,Other,2010,Yes
586,Android,M,2021,No
587,Android,F,2019,Yes
588,Machine Learning,F,2009,Yes
589,IOS,F,2020,Yes
590,Web,Other,2010,Yes
591,Cybersecurity,M,2011,No
592,Web,F,2010,Yes
593,Cloud,M,2016,Yes
594,Cloud,F,2022,Yes
595,Machine Learning,Other,2015,No
596,Cloud,M,2014,Yes
597,Cloud,M,2010,Yes
598,Cloud,M,2012,Yes
599,Windows,M,2012,Yes
600,Machine Learning,M,2019,Yes
601,Machine Learning,Other,2013,No
602,Machine Learning,M,2015,No
603,Android,F,2014,Yes
604,IOS,M,2016,Yes
605,IOS,Other,2014,Yes
606,Machine Learning,F,2009,No
607,Windows,M,2017,Yes
608,Cloud,M,2010,Yes
609,Cloud,F,2015,No
610,Machine Learning,F,2021,Yes
611,Cloud,M,2014,Yes
612,Web,F,2009,No
613,Windows,Other,2013,Yes
614,Web,Other,2015,No
615,Windows,F,2014,No
616,IOS,F,2009,Yes
617,IOS,M,2013,No
618,Cybersecurity,Other,2008,Yes
619,IOS,M,2019,Yes
620,Machine Learning,F,2011,Yes
621,Cloud,M,2012,No
622,Cybersecurity,Other,2016,Yes
623,Web,M,2018,No
624,Machine Learning,F,2013,Yes
625,Machine Learning,M,2019,Yes
626,Cloud,F,2018,No
627,DevOps,F,2016,No
628,Cloud,M,2012,Yes
629,Windows,M,2015,No
630,DevOps,M,2021,No
631,Web,Other,2018,No
632,Android,F,2017,Yes
633,Cloud,M,2012,No
634,Machine Learning,M,2009,Yes
635,Windows,F,2020,No
636,Web,M,2018,Yes
637,Cloud,Other,2008,No
638,Windows,M,2011,No
639,DevOps,M,2018,Yes
640,Windows,Other,2018,No
641,Android,M,2017,No
642,Machine Learning,M,2019,No
643,Windows,F,2018,Yes
644,Machine Learning,M,2018,Yes
645,DevOps,F,2008,Yes
646,Android,F,2023,Yes
647,Machine Learning,M,2021,No
648,Windows,M,2015,No
649,Web,M,2013,No
650,IOS,F,2021,No
651,Cybersecurity,M,2019,Yes
652,Cybersecurity,F,2018,Yes
653,Android,F,2023,No
654,Android,F,2014,Yes
655,Web,F,2010,No
656,IOS,F,2014,No
657,IOS,M,2010,Yes
658,Cloud,F,2018,No
659,IOS,Other,2015,No
660,Cybersecurity,M,2016,No
661,DevOps,M,2018,Yes
662,IOS,F,2012,No
663,Windows,F,2021,Yes
664,DevOps,F,2008,Yes
665,Cloud,F,2009,Yes
666,Web,F,2016,Yes
667,Machine Learning,F,2012,Yes
668,Windows,M,2012,No
669,DevOps,M,2022,No
670,Windows,F,2011,Yes
671,Android,M,2020,No
672,Machine Learning,F,2022,No
673,Cloud,F,2011,Yes
674,Machine Learning,M,2009,No
675,Android,F,2014,No
676,Android,M,2022,Yes
677,Cloud,F,2014,No
678,Web,F,2013,Yes
679,Cybersecurity,F,2011,Yes
680,Android,M,2012,Yes
681,Cloud,F,2010,Yes
682,Machine Learning,F,2008,Yes
683,DevOps,F,2014,No
684,Windows,F,2023,Yes
685,IOS,M,2012,Yes
686,Cybersecurity,F,2019,No
687,Cybersecurity,F,2016,Yes
688,Windows,M,2020,Yes
689,Windows,M,2014,No
690,DevOps,F,2012,Yes
691,IOS,F,2019,No
692,Android,Other,2012,No
693,Cybersecurity,M,2014,Yes
694,IOS,F,2010,Yes
695,DevOps,F,2018,No
696,Android,M,2017,No
697,IOS,M,2020,Yes
698,Cybersecurity,M,2012,Yes
699,IOS,M,2021,Yes
700,Cloud,Other,2018,Yes
701,IOS,F,2022,Yes
702,Android,M,2010,Yes
703,Android,F,2015,Yes
704,IOS,F,2019,No
705,Web,F,2008,No
706,Cloud,M,2019,No
707,DevOps,M,2018,Yes
708,IOS,F,2017,Yes
709,Cybersecurity,F,2021,No
710,Windows,M,2022,No
711,Machine Learning,M,2011,No
712,Web,M,2014,No
713,Windows,F,2012,Yes
714,Cloud,F,2016,Yes
715,Web,F,2009,No
716,DevOps,M,2012,No
717,Cybersecurity,M,2011,Yes
718,Web,F,2016,Yes
719,DevOps,M,2009,Yes
720,IOS,F,2015,Yes
721,DevOps,F,2020,Yes
722,Machine Learning,F,2009,Yes
723,IOS,F,2015,Yes
724,IOS,F,2015,No
725,DevOps,M,2017,Yes
726,Cybersecurity,Other,2021,No
727,Web,F,2016,Yes
728,Android,F,2023,No
729,DevOps,F,2022,Yes
730,Android,M,2008,Yes
731,Web,M,2023,Yes
732,Android,M,2021,Yes
733,Web,Other,2010,No
734,Cybersecurity,M,2022,Yes
735,Web,F,2014,No
736,DevOps,Other,2015,No
737,IOS,F,2021,Yes
738,Machine Learning,F,2018,No
739,DevOps,F,2014,No
740,Cybersecurity,M,2010,No
741,Machine Learning,F,2018,No
742,Windows,Other,2010,No
743,Windows,F,2010,No
744,Cloud,M,2018,Yes
745,Cloud,F,2021,No
746,Android,Other,2019,No
747,DevOps,M,2018,No
748,Machine Learning,F,2023,No
749,Cloud,Other,2021,No
750,Windows,F,2021,No
751,Machine Learning,M,2011,No
752,DevOps,F,2019,No
753,Cloud,M,2015,No
754,IOS,M,2009,No
755,Machine Learning,M,2019,Yes
756,Machine Learning,M,2009,Yes
757,IOS,Other,2009,No
758,Machine Learning,F,2023,No
759,Cloud,Other,2018,No
760,Cloud,M,2012,Yes
761,Windows,M,2016,No
762,Windows,F,2014,No
763,IOS,M,2013,No
764,Windows,Other,2019,No
765,Web,M,2010,No
766,Cybersecurity,M,2011,No
767,Cybersecurity,M,2009,Yes
768,Cybersecurity,Other,2012,No
769,Cloud,Other,2010,No
770,Cybersecurity,F,2021,No
771,Windows,F,2015,Yes
772,Web,F,2017,Yes
773,Web,F,2012,Yes
774,Windows,F,2022,Yes
775,DevOps,F,2023,Yes
776,Windows,Other,2010,Yes
777,Windows,M,2010,Yes
778,Cloud,Other,2022,No
779,IOS,M,2013,Yes
780,Machine Learning,M,2023,No
781,Android,F,2017,Yes
782,Windows,M,2012,No
783,IOS,F,2014,No
784,Machine Learning,F,2018,Yes
785,DevOps,M,2022,Yes
786,Windows,F,2015,Yes
787,Cybersecurity,M,2018,Yes
788,Web,M,2023,No
789,Machine Learning,Other,2020,No
790,Cloud,M,2008,No
791,Windows,M,2021,Yes
792,Web,F,2011,No
793,DevOps,F,2020,Yes
794,Android,F,2020,Yes
795,Windows,M,2022,Yes
796,Windows,F,2018,No
797,IOS,F,2013,No
798,DevOps,F,2009,Yes
799,Android,F,2023,No
800,Cloud,M,2021,Yes
801,Windows,M,2018,No
802,Machine Learning,M,2020,Yes
803,IOS,F,2019,No
804,DevOps,M,2017,Yes
805,IOS,M,2008,No
806,Web,M,2013,Yes
807,Cloud,M,2012,Yes
808,Windows,M,2019,No
809,Windows,Other,2012,Yes
810,Cybersecurity,F,2022,Yes
811,Web,M,2022,No
812,Machine Learning,M,2010,Yes
813,IOS,M,2018,No
814,DevOps,M,2020,No
815,Windows,F,2018,No
816,Machine Learning,M,2015,No
817,Cloud,F,2018,No
818,Cloud,F,2021,No
819,DevOps,F,2022,No
820,IOS,F,2009,Yes
821,Cybersecurity,M,2009,Yes
822,DevOps,Other,2013,Yes
823,Cloud,F,2021,Yes
824,Machine Learning,Other,2009,No
825,DevOps,M,2023,No
826,IOS,M,2014,No
827,Android,F,2009,Yes
828,Windows,M,2019,Yes
829,Cloud,F,2013,No
830,DevOps,M,2011,No
831,IOS,F,2016,Yes
832,Cybersecurity,F,2019,No
833,Machine Learning,M,2017,Yes
834,DevOps,M,2023,Yes
835,Cybersecurity,M,2020,No
836,IOS,F,2020,No
837,Machine Learning,M,2023,No
838,Android,F,2021,No
839,Web,Other,2010,Yes
840,Windows,M,2017,Yes
841,Android,Other,2009,No
842,Cybersecurity,F,2011,No
843,Cybersecurity,F,2019,No
844,Web,M,2019,Yes
845,IOS,M,2009,No
846,Machine Learning,F,2022,Yes
847,Web,M,2011,No
848,Android,M,2012,No
849,Web,M,2017,No
850,Web,M,2012,Yes
851,Android,M,2020,Yes
852,Machine Learning,F,2014,Yes
853,Windows,Other,2008,Yes
854,Machine Learning,M,2013,Yes
855,Machine Learning,M,2023,No
856,Windows,M,2010,No
857,Machine Learning,F,2021,No
858,Cloud,F,2021,Yes
859,IOS,Other,2019,No
860,DevOps,M,2016,Yes
861,Windows,F,2022,Yes
862,IOS,Other,2016,Yes
863,Web,M,2008,Yes
864,Web,M,2010,No
865,Cloud,M,2013,Yes
866,Machine Learning,M,2016,Yes
867,Android,F,2022,No
868,IOS,F,2019,No
869,Android,F,2010,No
870,IOS,F,2013,Yes
871,Web,F,2014,No
872,Web,M,2015,No
873,Windows,Other,2016,No
874,DevOps,F,2013,Yes
875,Web,M,2008,No
876,Cybersecurity,Other,2008,Yes
877,DevOps,M,2015,Yes
878,IOS,M,2010,Yes
879,Machine Learning,F,2010,No
880,Android,F,2013,Yes
881,Web,M,2020,No
882,Machine Learning,F,2020,No
883,IOS,Other,2016,Yes
884,Cybersecurity,F,2017,No
885,DevOps,F,2017,Yes
886,Windows,M,2020,Yes
887,DevOps,F,2017,No
888,DevOps,M,2023,No
889,DevOps,M,2020,No
890,Cybersecurity,F,2013,Yes
891,Android,M,2015,No
892,DevOps,F,2018,No
893,Cybersecurity,F,2021,No
894,Machine Learning,Other,2019,No
895,Cybersecurity,F,2017,No
896,Cloud,M,2017,Yes
897,Machine Learning,M,2020,Yes
898,Cybersecurity,M,2013,No
899,IOS,F,2017,No
900,Cloud,F,2010,Yes
901,Android,F,2015,Yes
902,Cloud,F,2009,Yes
903,Machine Learning,M,2019,Yes
904,DevOps,Other,2017,No
905,Android,F,2017,No
906,Machine Learning,M,2023,No
907,Android,F,2011,Yes
908,Cybersecurity,Other,2023,No
909,Cloud,M,2009,No
910,Android,F,2010,No
911,Web,M,2021,No
912,IOS,M,2008,Yes
913,Windows,M,2014,No
914,Web,M,2022,Yes
915,IOS,F,2016,Yes
916,Cloud,F,2014,Yes
917,Cloud,M,2018,Yes
918,IOS,M,2022,No
919,Cloud,M,2019,Yes
920,Cybersecurity,F,2009,Yes
921,Cloud,F,2011,Yes
922,Web,F,2014,Yes
923,Cloud,Other,2012,Yes
924,Windows,M,2011,Yes
925,Cybersecurity,F,2020,No
926,IOS,F,2015,No
